id,host_id,neighbourhood,latitude,longitude,room_type,price,distance_to_center,zone
421430,2095815,TICINESE,45.44697,9.18181,Private room,100,2.03,2
423437,2105878,TICINESE,45.44754,9.17709,Entire home/apt,72,2.13,2
425205,2114286,NAVIGLI,45.45236,9.17744,Entire home/apt,30,1.67,2
426809,2122261,TICINESE,45.45117,9.18076,Entire home/apt,200,1.64,2
427820,1917346,SARPI,45.48126,9.17609,Private room,65,2.21,2
430860,2142268,PARCO LAMBRO - CIMIANO,45.49251,9.23157,Private room,65,4.49,3
431719,1467265,DUOMO,45.4607,9.18653,Entire home/apt,814,0.5,1
432325,2149913,ISOLA,45.48794,9.18451,Entire home/apt,150,2.69,2
432373,5476690,CITTA' STUDI,45.48415,9.2346,Entire home/apt,130,4.09,3
432492,2129715,PAGANO,45.48018884372555,9.163445228100656,Entire home/apt,75,2.77,2
434334,2158387,DUOMO,45.46132,9.18413,Entire home/apt,214,0.59,1
434379,2158679,MAGENTA - S. VITTORE,45.45834,9.17165,Entire home/apt,129,1.61,2
434834,2160229,TORTONA,45.45601,9.16191,Entire home/apt,280,2.42,2
440465,2188448,STADERA,45.43267059326172,9.183494567871094,Private room,50,3.55,3
445662,503840,ISOLA,45.48791,9.19339,Private room,39,2.65,2
451086,2240559,SARPI,45.47769,9.17984,Entire home/apt,100,1.72,2
451490,1105076,DUOMO,45.46004,9.18,Entire home/apt,100,0.94,1
460175,1621852,SARPI,45.48096,9.1709,Private room,154,2.42,2
466141,2173816,DUOMO,45.46255,9.1896,Entire home/apt,70,0.2,1
470014,2332044,GARIBALDI REPUBBLICA,45.48708,9.19665,Private room,27,2.59,2
470276,748765,NAVIGLI,45.44513,9.16566,Private room,50,2.88,2
470284,748765,NAVIGLI,45.44572,9.16718,Private room,33,2.75,2
470295,748765,NAVIGLI,45.44528,9.16734,Private room,42,2.78,2
472998,2345724,BANDE NERE,45.45712,9.14246,Private room,40,3.84,3
473121,464145,RIPAMONTI,45.43463,9.20421,Private room,103,3.46,3
478445,2369455,VIGENTINA,45.44899,9.19354,Entire home/apt,80,1.71,2
494968,2445140,PARCO LAMBRO - CIMIANO,45.49981,9.24222,Entire home/apt,100,5.66,4
496359,2452094,SCALO ROMANA,45.4382,9.2011,Private room,80,3.01,3
496612,2452841,PORTA ROMANA,45.44961657407504,9.199477436231222,Entire home/apt,89,1.77,2
504777,2482725,WASHINGTON,45.45845,9.15358,Entire home/apt,90,2.96,2
509374,2510220,SARPI,45.480867,9.174694,Entire home/apt,130,2.23,2
524751,2565563,STADERA,45.43723,9.17738,Private room,38,3.17,3
527181,2775290,CITTA' STUDI,45.48586,9.22725,Entire home/apt,60,3.74,3
528331,2595505,LORETO,45.49095,9.2171,Private room,56,3.63,3
530224,2604325,LORETO,45.48966,9.20982,Entire home/apt,99,3.21,3
536375,2635009,ISOLA,45.49064,9.18425,Entire home/apt,70,2.99,2
538175,2643876,S. CRISTOFORO,45.4462,9.15515,Entire home/apt,100,3.41,3
541221,1442498,TICINESE,45.45427,9.17764,Entire home/apt,201,1.5,1
541668,2022842,LODI - CORVETTO,45.439026,9.223157,Entire home/apt,61,3.78,3
544809,2452841,PORTA ROMANA,45.44973,9.20314,Entire home/apt,74,1.89,2
553285,2718914,CENTRALE,45.48309,9.20435,Entire home/apt,431,2.36,2
564917,1915680,PARCO LAMBRO - CIMIANO,45.49113,9.24909,Private room,46,5.47,4
566637,2787018,BUENOS AIRES - VENEZIA,45.48048,9.21135,Entire home/apt,290,2.43,2
567935,2794370,TICINESE,45.45599,9.18636,Entire home/apt,75,0.97,1
579191,2848811,S. CRISTOFORO,45.44702,9.15458,Entire home/apt,150,3.4,3
582623,2869541,ISOLA,45.48627,9.19064,Entire home/apt,200,2.46,2
584568,2880078,GALLARATESE,45.49677,9.12337,Private room,73,6.38,5
586671,2892169,TICINESE,45.45032,9.17785,Entire home/apt,103,1.84,2
589496,2787018,BUENOS AIRES - VENEZIA,45.48226,9.21273,Entire home/apt,150,2.65,2
601343,1380892,CENTRALE,45.484,9.20757,Entire home/apt,84,2.57,2
602405,2980678,TICINESE,45.45644,9.17875,Entire home/apt,220,1.26,1
614814,3048962,GARIBALDI REPUBBLICA,45.48326,9.18247,Entire home/apt,174,2.22,2
618043,3062197,STADERA,45.42987,9.18395,Entire home/apt,250,3.85,3
618059,2869541,ISOLA,45.48682,9.19255,Private room,50,2.52,2
621791,380378,VIGENTINA,45.45584,9.19557,Entire home/apt,120,1.01,1
626619,3110598,RIPAMONTI,45.42621,9.2028199999999991,Entire home/apt,60,4.33,3
627433,3114806,FARINI,45.49461,9.17412,Entire home/apt,115,3.62,3
629268,3125883,PORTA ROMANA,45.45161,9.20991,Entire home/apt,350,2.06,2
638106,2057564,TICINESE,45.45583,9.17492,Private room,80,1.54,2
645501,2158679,MAGENTA - S. VITTORE,45.4597,9.17184,Entire home/apt,81,1.54,2
645829,2831370,DE ANGELI - MONTE ROSA,45.47536,9.15008,Private room,100,3.4,3
665967,3366375,PORTA ROMANA,45.44918,9.21,Entire home/apt,100,2.26,2
667264,3375154,BARONA,45.43407,9.14586,Private room,49,4.84,4
667941,3379882,LAMBRATE,45.47668,9.24876,Private room,189,4.75,4
671609,3404692,XXII MARZO,45.45883,9.21574,Entire home/apt,200,2.05,2
675846,1693725,NAVIGLI,45.44486,9.17609,Entire home/apt,129,2.43,2
679442,3456315,SARPI,45.48752,9.15993,Entire home/apt,109,3.53,3
682825,2842270,BRERA,45.474,9.18606,Private room,130,1.15,1
686189,3500377,FORZE ARMATE,45.45872,9.10529,Private room,50,6.69,5
691171,1957255,PADOVA,45.502655029296875,9.234384536743164,Private room,29,5.48,4
